date,hour,day,pm25
2018-08-25,02,25,51.8
2018-08-25,03,25,50.9
2018-08-25,04,25,47.9
2018-08-25,05,25,44.4
2018-08-25,06,25,42.7
2018-08-25,07,25,40.3
2018-08-25,08,25,41.6
2018-08-25,09,25,42.6
2018-08-25,10,25,41.4
2018-08-25,11,25,41.2
2018-08-25,12,25,40.8
2018-08-25,13,25,40.5
2018-08-25,14,25,38.8
2018-08-25,15,25,36.8
2018-08-25,16,25,35.2
2018-08-25,17,25,34.2
2018-08-25,18,25,36.1
2018-08-25,19,25,36
2018-08-25,20,25,37.4
2018-08-25,21,25,40.3
2018-08-25,22,25,41.5
2018-08-25,23,25,44
2018-08-26,00,26,42.9
2018-08-26,01,26,42.6
2018-08-26,02,26,44.2
2018-08-26,03,26,44.1
2018-08-26,04,26,44.7
2018-08-26,05,26,43.8
2018-08-26,06,26,42.9
2018-08-26,07,26,39
2018-08-26,08,26,28.4
2018-08-26,09,26,18.7
2018-08-26,10,26,12.8
2018-08-26,11,26,7.9
2018-08-26,12,26,5.9
2018-08-26,13,26,5.9
2018-08-26,14,26,7.9
2018-08-26,15,26,11.4
2018-08-26,16,26,9.7
2018-08-26,17,26,7.8
2018-08-26,18,26,5.9
2018-08-26,19,26,5.4
2018-08-26,20,26,5.7
2018-08-26,21,26,5.8
2018-08-26,22,26,5.9
2018-08-26,23,26,5.4
2018-08-27,00,27,4.2
2018-08-27,01,27,7.1
2018-08-27,02,27,8
2018-08-27,03,27,7.5
2018-08-27,04,27,7.7
2018-08-27,05,27,8.3
2018-08-27,06,27,11.1
2018-08-27,07,27,12
2018-08-27,08,27,11.5
2018-08-27,09,27,14.2
2018-08-27,10,27,13.6
2018-08-27,11,27,14.8
2018-08-27,12,27,10.9
2018-08-27,13,27,10.4
2018-08-27,14,27,11.7
2018-08-27,15,27,13.8
2018-08-27,16,27,12.9
2018-08-27,17,27,11.9
2018-08-27,18,27,10.4
2018-08-27,19,27,9.7
2018-08-27,20,27,12.3
2018-08-27,21,27,12.6
2018-08-27,22,27,14.3
2018-08-27,23,27,11.6
2018-08-28,00,28,11.9
2018-08-28,01,28,11.5
2018-08-28,02,28,11.2
2018-08-28,03,28,11.1
2018-08-28,04,28,10.6
2018-08-28,05,28,9.2
2018-08-28,06,28,11.6
2018-08-28,07,28,13.8
2018-08-28,08,28,12.9
2018-08-28,09,28,12.4
2018-08-28,10,28,20.2
2018-08-28,11,28,22.6
2018-08-28,12,28,22.3
2018-08-28,13,28,21.6
2018-08-28,14,28,17.3
2018-08-28,15,28,14.1
2018-08-28,16,28,14.5
2018-08-28,17,28,13.7
2018-08-28,18,28,16.3
2018-08-28,19,28,18.6
2018-08-28,20,28,15.8
2018-08-28,21,28,14.4
2018-08-28,22,28,17.7
2018-08-28,23,28,15.8
2018-08-29,00,29,16.4
2018-08-29,01,29,16.2
2018-08-29,02,29,18.4
2018-08-29,03,29,17.2
2018-08-29,04,29,16.4
2018-08-29,05,29,16.6
2018-08-29,06,29,15.6
2018-08-29,07,29,17.2
2018-08-29,08,29,16.8
2018-08-29,09,29,17.5
2018-08-29,10,29,19.2
2018-08-29,11,29,23.2
2018-08-29,12,29,18.8
2018-08-29,13,29,16.9
2018-08-29,14,29,16
2018-08-29,15,29,12.4
2018-08-29,16,29,9.7
2018-08-29,17,29,10.3
2018-08-29,18,29,9.6
2018-08-29,19,29,8.3
2018-08-29,20,29,6.6
2018-08-29,21,29,5.8
2018-08-29,22,29,4.4
2018-08-29,23,29,3.2
2018-08-30,00,30,2.6
2018-08-30,01,30,1.2
2018-08-30,02,30,0.6
2018-08-30,03,30,0.3
2018-08-30,04,30,2.1
2018-08-30,05,30,3.5
